client_id,anciennete_mois,utilisation_mensuelle,tickets_service_6m,satisfaction,type_contrat,rabais_actuel,valeur_mensuelle,depart_90j
CL0440,115,22.2,1,5.8,mensuel,aucun,107.17,0
CL0441,95,13.5,0,5.4,annuel,aucun,95.01,0
CL0442,24,17.2,2,6.3,mensuel,fidélité,89.32,1
CL0443,35,15.1,2,5.3,mensuel,fidélité,123.38,1
CL0444,65,15.1,2,5.3,mensuel,aucun,69.54,0
CL0445,42,17.5,1,6.3,mensuel,aucun,88.7,0
CL0446,55,13.4,2,6.2,annuel,fidélité,76.43,1
CL0447,19,11.8,3,7.1,mensuel,rétention,52.18,1
CL0448,32,21.6,2,8.4,annuel,aucun,105.43,0
CL0449,37,14.4,2,8.2,annuel,aucun,114.55,0
CL0450,49,9,2,7.2,mensuel,aucun,106.5,0
CL0451,13,7.9,1,6.8,annuel,aucun,62.04,0
CL0452,76,10,3,7.8,mensuel,fidélité,94.57,0
CL0453,15,16.6,4,6.1,mensuel,fidélité,97.69,1
CL0454,37,10.8,2,5,annuel,aucun,87.8,0
CL0455,45,28.7,3,7,mensuel,fidélité,124.19,0
CL0456,11,17.7,2,7.6,mensuel,rétention,119.93,1
CL0457,18,17.5,2,10,annuel,aucun,83.78,0
CL0458,34,18.7,0,7.3,mensuel,aucun,89.97,0
CL0459,30,21.4,2,9.2,mensuel,rétention,122.63,0
CL0460,10,10.8,0,7.2,annuel,aucun,66.84,0
CL0461,56,19,2,7.9,annuel,aucun,81.28,0
CL0462,34,10.3,3,6.8,annuel,aucun,69.21,1
CL0463,63,9.1,2,4.1,mensuel,aucun,95.94,1
CL0464,39,5.2,2,8.1,mensuel,fidélité,74.37,1
CL0465,9,16.7,2,5.5,annuel,aucun,87.76,1
CL0466,22,6.8,1,6.7,mensuel,aucun,91.36,0
CL0467,18,17.6,2,7,mensuel,aucun,108.52,0
CL0468,27,16.2,1,8.7,annuel,aucun,67.13,0
CL0469,27,15.2,1,5.2,annuel,aucun,87.5,0
CL0470,103,23.8,2,7.8,annuel,rétention,92.99,0
CL0471,13,17.9,1,10,mensuel,rétention,71.75,0
CL0472,18,18.7,1,4.9,mensuel,fidélité,109.22,0
CL0473,60,17.5,3,7.9,annuel,fidélité,80.09,0
CL0474,11,19.2,1,5.6,mensuel,aucun,93.25,1
CL0475,9,20.5,0,6.5,annuel,fidélité,68.55,1
CL0476,48,21.8,1,8,mensuel,aucun,83.76,0
CL0477,59,17.8,2,8.1,mensuel,aucun,110.21,0
CL0478,13,14.3,1,6.7,annuel,aucun,60.07,0
CL0479,8,18.7,4,3.7,annuel,rétention,111.11,1
CL0480,44,18.6,1,8.2,mensuel,fidélité,80.59,0
CL0481,13,13.7,2,7.1,mensuel,aucun,101.62,0
CL0482,46,20.9,3,8.6,mensuel,aucun,68.49,0
CL0483,22,16.1,4,4.1,mensuel,aucun,99.19,0
CL0484,20,16.3,2,8.1,annuel,fidélité,80.71,0
CL0485,5,17.5,0,8,mensuel,fidélité,111.71,0
CL0486,22,13.7,3,6,mensuel,aucun,83.48,1
CL0487,82,9.1,2,4.7,mensuel,aucun,62.2,1
CL0488,18,14.5,5,6.7,mensuel,rétention,111.49,1
CL0489,48,10.1,0,8.6,mensuel,rétention,88.44,1
CL0490,40,18.5,0,6.8,annuel,aucun,74.2,0
CL0491,6,15.1,0,6.5,mensuel,fidélité,103.39,0
CL0492,26,12.1,1,7.4,annuel,aucun,87.49,0
CL0493,33,21.5,2,6.3,annuel,aucun,122.95,0
CL0494,21,11.4,1,5.2,annuel,fidélité,117.33,0
CL0495,15,6.7,2,6.2,annuel,rétention,80.24,1
CL0496,32,16.8,3,6.7,mensuel,aucun,98.52,1
CL0497,16,17.6,1,7.7,mensuel,fidélité,96.35,0
CL0498,17,17.3,2,8.2,mensuel,aucun,86.53,0
CL0499,19,14.8,1,4.8,mensuel,fidélité,114.49,1
CL0500,17,15.1,1,7.8,annuel,aucun,71.18,0
CL0501,11,15.2,0,8.9,mensuel,aucun,111.03,0
CL0502,10,13.4,2,7.1,annuel,fidélité,81.78,0
CL0503,8,21.7,2,7,mensuel,aucun,134.42,0
CL0504,38,9.6,3,6.3,annuel,aucun,76.08,1
CL0505,19,16,1,8.8,mensuel,aucun,104.33,0
CL0506,22,9.3,0,5.4,annuel,aucun,98.28,1
CL0507,8,17.6,1,7.6,annuel,aucun,109.85,0
CL0508,18,25.2,1,4.9,mensuel,aucun,49.78,1
CL0509,18,20.9,2,8.9,mensuel,aucun,102.88,1
CL0510,19,19.4,4,4.9,mensuel,fidélité,98.42,1
CL0511,2,19.4,3,6.2,annuel,aucun,92.99,0
CL0512,34,8.7,2,5.1,annuel,rétention,93.03,1
CL0513,11,22.4,1,7.6,annuel,fidélité,125.75,0
CL0514,23,10.9,4,5.6,mensuel,fidélité,76.41,1
CL0515,22,16.7,4,4.7,mensuel,fidélité,81.26,1
CL0516,19,21.9,2,8.1,mensuel,fidélité,87.65,0
CL0517,10,15.1,3,4.9,annuel,aucun,76.95,1
CL0518,16,23.9,1,8.8,mensuel,aucun,99.46,0
CL0519,41,10.5,1,7.4,annuel,aucun,110.44,0
CL0520,76,10.5,3,6.8,mensuel,aucun,94.38,0
CL0521,24,9.6,2,7.6,mensuel,fidélité,100.11,0
CL0522,32,17.3,4,5.5,annuel,aucun,94.16,1
CL0523,6,12.6,2,7.9,annuel,aucun,88.17,1
CL0524,14,12.5,2,5.4,mensuel,aucun,103.5,0
CL0525,16,12.4,2,6,annuel,fidélité,104.42,1
CL0526,21,8.4,3,8.1,annuel,fidélité,96.35,0
CL0527,10,15.3,2,8.1,mensuel,aucun,118.06,0
CL0528,11,10,2,6.2,mensuel,aucun,95.4,0
CL0529,27,11.3,2,7.5,mensuel,rétention,112.87,1
CL0530,15,13.4,0,6.7,mensuel,aucun,100.64,0
CL0531,27,20.3,2,8.8,annuel,fidélité,122.23,0
CL0532,31,22.4,3,5.3,mensuel,aucun,66.59,1
CL0533,11,20,0,7.1,mensuel,fidélité,99.09,0
CL0534,14,11.9,2,7.3,mensuel,aucun,81.47,1
CL0535,40,13.4,1,5.6,mensuel,fidélité,73.54,1
CL0536,43,19.7,3,6.7,mensuel,aucun,102.8,0
CL0537,54,20.4,2,8.1,annuel,aucun,115.44,0
CL0538,18,12.7,3,5.6,mensuel,rétention,101.76,1
CL0539,40,10.1,2,6.1,mensuel,fidélité,84.61,1
CL0540,7,7.1,1,8,mensuel,aucun,86.33,0
CL0541,42,14.1,3,7.5,annuel,aucun,131.88,0
CL0542,22,3.6,4,3.9,annuel,aucun,53.21,1
CL0543,28,16.4,4,5.5,mensuel,aucun,71.56,1
CL0544,53,8.5,1,7.5,mensuel,aucun,78.72,0
CL0545,44,8.4,0,7.9,mensuel,aucun,64.48,0
CL0546,14,23.4,1,7.2,mensuel,aucun,115.73,0
CL0547,7,18,2,6.4,mensuel,aucun,137.92,1
CL0548,40,10.1,0,6.2,mensuel,aucun,77.02,1
CL0549,7,22.1,0,6.8,mensuel,fidélité,76.16,1
CL0550,12,20.2,0,8.8,mensuel,aucun,120.01,0
CL0551,37,15.7,0,6.3,mensuel,fidélité,86.35,0
CL0552,55,13,3,7.3,mensuel,fidélité,69.35,1
CL0553,44,11.5,1,5,mensuel,aucun,80.47,1
CL0554,33,11.6,1,7.6,mensuel,aucun,107.82,1
CL0555,60,22.7,1,6.2,mensuel,aucun,66.34,0
CL0556,18,9.5,2,7.6,mensuel,aucun,80.25,0
CL0557,19,13.5,1,7.7,mensuel,rétention,81.41,1
CL0558,54,7.5,1,6.8,mensuel,aucun,127.98,0
CL0559,25,10.9,1,8.1,annuel,aucun,72.56,0
CL0560,40,10.6,1,9.6,annuel,fidélité,45.77,0
CL0561,32,2,2,7.9,mensuel,rétention,74.59,0
CL0562,9,16.8,0,8.9,annuel,rétention,54.57,0
CL0563,12,9.9,1,9.7,annuel,aucun,68.29,0
CL0564,22,8.8,2,6.4,annuel,rétention,70.69,1
CL0565,33,8.1,4,3.6,annuel,aucun,59.61,1
CL0566,44,7.8,1,6.7,annuel,fidélité,59.83,1
CL0567,13,12.8,1,8,annuel,rétention,102.04,0
CL0568,51,24.3,0,7.4,mensuel,fidélité,100.41,0
CL0569,35,12.4,0,8.2,mensuel,fidélité,75.67,0
CL0570,14,13.5,2,6.2,annuel,fidélité,85.35,1
CL0571,42,7.8,2,9.9,annuel,aucun,85.76,0
CL0572,7,13.9,0,6.3,mensuel,aucun,70.95,1
CL0573,13,11,1,7,mensuel,fidélité,67.06,0
CL0574,48,17.7,1,6.4,mensuel,aucun,106.27,1
CL0575,13,7.2,0,6.9,annuel,aucun,63.66,0
CL0576,58,8.2,3,6,mensuel,aucun,61.67,1
CL0577,25,23.8,3,6.8,mensuel,aucun,111.45,0
CL0578,34,16.1,3,6.3,mensuel,rétention,98.51,1
CL0579,18,17.7,0,7.1,mensuel,fidélité,88.91,0
CL0580,16,20.1,3,7.2,mensuel,fidélité,124.44,1
CL0581,30,7.6,2,7.1,mensuel,aucun,82.45,1
CL0582,34,24.1,1,7.6,mensuel,fidélité,117.46,0
CL0583,23,14.3,1,5.4,mensuel,fidélité,93.27,0
CL0584,15,15,3,6.1,annuel,fidélité,105.9,0
CL0585,18,10.6,0,8.5,mensuel,fidélité,44.56,1
CL0586,6,9,2,5.6,mensuel,fidélité,65.01,1
CL0587,15,12.8,2,6.1,annuel,fidélité,88.12,0
CL0588,31,14.1,4,6,mensuel,aucun,106.84,1
CL0589,26,10.9,2,7.9,mensuel,aucun,92.11,0
CL0590,50,13.5,2,5.9,annuel,aucun,102.38,0
CL0591,42,22.5,1,5.6,annuel,rétention,108.91,0
CL0592,22,16.4,3,6.9,mensuel,aucun,84.33,0
CL0593,28,21.8,0,7.7,mensuel,aucun,121.82,0
CL0594,34,12.6,0,7.3,mensuel,aucun,70.03,0
CL0595,36,10.8,0,6.6,annuel,fidélité,110.7,0
CL0596,34,7.1,4,6.1,mensuel,aucun,121.71,1
CL0597,34,10.5,4,5.1,annuel,rétention,108.66,0
CL0598,20,13.9,1,8.6,mensuel,aucun,123.67,0
CL0599,16,18,0,5.5,annuel,aucun,69.32,1
CL0600,18,6.7,0,8.5,mensuel,rétention,125.35,1
CL0601,22,18.6,1,8.3,annuel,aucun,90.16,0
CL0602,52,17.7,2,4.5,annuel,rétention,113.2,1
CL0603,6,18.7,1,8.4,annuel,aucun,80.88,1
CL0604,40,21.4,2,7.5,annuel,fidélité,128.04,0
CL0605,37,5.3,0,10,annuel,aucun,77.3,0
CL0606,40,12.9,1,8.4,mensuel,aucun,103.48,0
CL0607,24,17.1,3,7.6,mensuel,aucun,83.72,1
CL0608,11,18,1,6.9,mensuel,aucun,63.25,0
CL0609,42,3.2,1,6.9,mensuel,aucun,76.89,0
CL0610,46,11.2,1,8.7,annuel,fidélité,71.9,0
CL0611,12,18.8,3,7.3,annuel,aucun,90.66,0
CL0612,7,25,3,6.4,mensuel,aucun,129.96,0
CL0613,27,18.5,0,6.9,mensuel,aucun,108.11,0
CL0614,18,10.3,2,5.4,mensuel,fidélité,63.81,1
CL0615,30,8.6,2,7.3,mensuel,aucun,63.96,0
CL0616,25,16.9,0,6.9,annuel,aucun,89.63,0
CL0617,22,18.4,1,8.8,annuel,rétention,83.94,0
CL0618,44,12,0,6.2,mensuel,aucun,68.21,0
CL0619,6,19.8,1,5.8,annuel,aucun,98.4,0
CL0620,8,7.8,2,7.1,mensuel,fidélité,81.95,0
CL0621,11,8.2,1,8.6,annuel,fidélité,106.46,0
CL0622,34,15,0,7.9,mensuel,rétention,119.16,0
CL0623,20,12,0,9.9,mensuel,aucun,76.93,0
CL0624,70,14.7,2,8.7,annuel,aucun,90.94,0
CL0625,47,12.4,1,5.3,mensuel,aucun,94.42,1
CL0626,1,13.9,0,7.4,mensuel,aucun,104.79,0
CL0627,23,10.8,1,5,mensuel,aucun,121.31,0
CL0628,10,13.4,0,8.1,mensuel,fidélité,106.06,0
CL0629,18,14,2,6.3,mensuel,rétention,97.58,1
CL0630,25,12.2,0,6.2,mensuel,aucun,99.25,0
CL0631,85,17.3,2,4.1,annuel,aucun,78.51,0
CL0632,64,15.1,2,7.1,annuel,fidélité,102.96,0
CL0633,17,19,1,8,mensuel,aucun,126.64,0
CL0634,28,10.3,1,7.4,annuel,aucun,74.34,1
CL0635,47,19.3,0,6.6,mensuel,aucun,96.99,0
CL0636,39,13.5,3,6.3,mensuel,fidélité,74.94,0
CL0637,13,19.1,0,6.8,mensuel,fidélité,102.32,1
CL0638,9,7.5,3,8.7,annuel,aucun,75.05,1
CL0639,16,18.3,2,8.8,mensuel,rétention,132.32,0
CL0640,43,18.8,0,8,mensuel,aucun,98.74,0
CL0641,37,15.1,2,6,mensuel,aucun,103.95,0
CL0642,54,7.8,1,7.4,annuel,aucun,86.89,0
CL0643,8,15.5,0,7.8,mensuel,aucun,112.84,0
CL0644,15,9.3,1,6.7,annuel,aucun,83.55,0
CL0645,18,11.3,0,6.6,annuel,aucun,74.18,0
CL0646,43,15,1,6.3,mensuel,aucun,94.87,0
CL0647,26,9.8,1,7.5,mensuel,rétention,97.28,0
CL0648,42,11.3,1,5.8,mensuel,aucun,109.28,0
CL0649,80,13.1,1,6.8,annuel,fidélité,65.08,0
CL0650,24,13,2,9,mensuel,aucun,70.07,0
